Sex,NumVics,Age1stKill,AgeLastKill,Age Group,# Male,# Female,Race of Victim,# White,# Black,# Hisp,#Asian,AgeKill,AgeSeries,,,,,,,
1,2,28,28,20,2,0,1,2,0,0,0,28,28,,,,,,,
1,2,29,29,20,2,0,7,1,0,1,0,29,29,,,,,,,
1,2,24,24,20,2,0,,,,,,24,24,,,,,,,
2,3,19,26,20,,,1,3,0,0,0, , ,,,,,,,
1,11,22,23,20,0,11,2,0,11,0,0,22,22,,,,,,,
1,3,23,38,20,2,1,7,2,1,0,0,23,23,,,,,,,
2,9,21,21,20,6,3,1,9,0,0,0,21,21,,,,,,,
1,4,40,44,40,0,4,1,4,0,0,0,40,40,,,,,,,
1,2,26,41,20,0,2,1,2,0,0,0,26,26,,,,,,,
1,2,27,29,20,2,0,,,,,,27,27,,,,,,,
1,3,20,22,20,3,0,2,0,3,0,0,20,20,,,,,,,
1,3,20,20,20,0,3,1,3,0,0,0,20,20,,,,,,,
1,2,27,27,20,0,2,7,1,1,0,0,27,27,,,,,,,
1,5,26,28,20,0,5,3,0,0,5,0,28,28,,,,,,,
1,2,33,56,30,0,2,1,2,0,0,0,33,33,,,,,,,
1,2,18,26,10,2,0,1,2,0,0,0,18,18,,,,,,,
1,2,68,68,60,2,0,1,2,0,0,0,68,68,,,,,,,
1,3,35,35,30,2,0,2,0,3,0,0,35,35,,,,,,,
1,2,21,32,20,0,2,3,0,0,2,0,21,21,,,,,,,
1,3,23,26,20,2,0,,,1,,,23,23,,,,,,,
1,8,17,23,10,0,8,1,8,0,0,0,,,,,,,,,
1,2,32,43,30,2,0,1,2,0,0,0,32,32,,,,,,,
1,7,23,29,20,2,5,4,0,0,0,7, , ,,,,,,,
1,2,25,36,20,2,0,1,2,0,0,0,25,25,,,,,,,
2,3,19,19,10,2,1,1,3,0,0,0,19,19,,,,,,,
1,2,19,32,10,1,1,1,2,0,0,0,19,19,,,,,,,
1,4,28,41,20,2,2,1,4,0,0,0,28,38,,,,,,,
1,14,32,49,30,14,0,4,0,0,0,14,32,32,,,,,,,
1,21,22,30,20,21,0,4,0,0,0,21, , ,,,,,,,
1,16,17,25,10,0,16,4,0,0,0,16, , ,,,,,,,
1,15,38,39,30,15,0,4,0,0,0,15,38,38,,,,,,,
1,3,31,32,30,3,0,1,3,0,0,0,31,31,,,,,,,
1,2,36,59,30,1,1,2,0,2,0,0,36,36,,,,,,,
1,3,31,31,30,1,2,1,3,0,0,0,31,31,,,,,,,
1,2,21,21,20,1,1,1,2,0,0,0,21,21,,,,,,,
1,2,17,17,10,2,0,2,0,2,0,0,17,17,,,,,,,
1,6,28,31,20,,,,,,,,28,28,,,,,,,
1,10,17,22,10,11,0,7,8,0,0,2,16,16,,,,,,,
1,2,22,22,20,2,0,1,2,0,0,0,22,22,,,,,,,
1,3,19,19,10,1,2,1,3,0,0,0,19,19,,,,,,,
1,67,20,25,20,,,2,67,0,0,0,,,,,,,,,
1,4,29,31,20,0,4,2,0,4,0,0,29,29,,,,,,,
1,5,23,29,20,1,4,1,5,0,0,0,23,23,,,,,,,
1,11,20,30,30,,,3,0,0,11,0,20,30,,,,,,,
1,2,19,19,10,2,0,2,0,2,0,0,19,19,,,,,,,
1,4,29,31,20,0,4,1,4,0,0,0,29,29,,,,,,,
1,3,29,30,20,0,3,,,,,,,,,,,,,,
1,3,41,42,40,0,3,1,3,0,0,0,41,41,,,,,,,
1,2,31,31,30,1,1,1,2,0,0,0,31,31,,,,,,,
1,5,18,36,10,4,1,1,5,0,0,0,18,18,,,,,,,
1,3,21,35,20,1,2,3,0,0,3,0,21,21,,,,,,,
1,70,23,33,20,70,0,3,0,0,70,0,23,23,,,,,,,
1,3,16,16,10,3,0,5,0,0,0,0,16,16,,,,,,,
1,5,66,77,60,1,4,1,5,0,0,0,,,,,,,,,
1,3,28,,20,3,0,2,0,3,0,0,28,28,,,,,,,
